			Y9999	  X2300		X2800
Date		台指		 電子	金融
2003/6/2	4692.94 	198.79 	692.21 
2003/6/3	4678.08 	198.47 	698.83 
2003/6/5	4738.34 	201.08 	695.00 
2003/6/6	4740.45 	202.27 	706.84 
2003/6/9	4826.94 	207.05 	701.80 
2003/6/10	4832.20 	208.11 	702.62 
2003/6/11	4804.65 	205.54 	710.28 
2003/6/12	4878.43 	208.23 	712.00 
2003/6/13	4881.90 	208.54 	712.42 
2003/6/16	4892.36 	207.66 	731.41 
2003/6/17	4973.19 	211.59 	724.26 
2003/6/18	4999.07 	213.97 	725.00 
2003/6/19	5048.91 	218.02 	734.14 
2003/6/20	5002.58 	215.61 	725.36 
2003/6/23	4921.72 	211.12 	715.35 
2003/6/24	4909.31 	210.95 	719.08 
2003/6/25	4933.79 	211.73 	714.44 
2003/6/26	4894.01 	210.19 	708.90 
2003/6/27	4877.90 	209.55 	707.23 
2003/6/30	4872.15 	208.65 	724.81 
2003/7/1	5017.78 	216.26 	733.65 
2003/7/2	5095.24 	221.22 	744.31 
2003/7/3	5095.31 	221.10 	737.87 
2003/7/4	5151.85 	226.03 	769.07 
2003/7/7	5322.26 	235.27 	760.78 
2003/7/8	5367.97 	239.06 	765.45 
2003/7/9	5358.91 	237.04 	758.63 
2003/7/10	5282.38 	231.35 	725.28 
2003/7/11	5239.96 	233.35 	739.87 
2003/7/14	5349.94 	239.08 	734.72 
2003/7/15	5335.86 	237.52 	734.92 
2003/7/16	5413.87 	241.02 	719.73 
2003/7/17	5299.51 	234.17 	720.04 
2003/7/18	5287.38 	234.05 	709.50 
2003/7/21	5219.30 	229.82 	709.76 
2003/7/22	5261.01 	233.02 	706.37 
2003/7/23	5287.89 	235.14 	716.49 
2003/7/24	5402.75 	242.53 	714.90 
2003/7/25	5394.75 	242.28 	718.48 
2003/7/28	5451.80 	243.13 	699.15 
2003/7/29	5342.46 	239.20 	697.13 
2003/7/30	5307.18 	236.53 	691.74 
2003/7/31	5318.34 	237.72 	692.14 
2003/8/1	5390.51 	242.86 	691.55 
2003/8/4	5377.19 	241.79 	681.65 
2003/8/5	5259.45 	235.03 	678.88 
2003/8/6	5225.83 	233.27 	680.17 
2003/8/7	5259.07 	235.32 	677.39 
2003/8/8	5232.55 	233.35 	672.15 
2003/8/11	5214.60 	232.78 	675.47 
2003/8/12	5255.24 	235.11 	695.13 
2003/8/13	5442.27 	244.47 	700.71 
2003/8/14	5436.75 	243.27 	700.22 
2003/8/15	5488.74 	246.01 	717.34 
2003/8/18	5516.80 	245.39 	712.46 
2003/8/19	5512.16 	246.36 	717.43 
2003/8/20	5543.61 	248.60 	717.86 
2003/8/21	5611.86 	252.83 	738.36 
2003/8/22	5646.62 	252.90 	746.95 
2003/8/25	5686.85 	254.17 	737.84 
2003/8/26	5558.25 	246.43 	750.84 
2003/8/27	5553.43 	246.08 	745.11 
2003/8/28	5523.12 	246.05 	751.26 
2003/8/29	5650.83 	253.92 	768.95 
2003/9/1	5691.79 	253.33 	776.86 
2003/9/2	5715.95 	254.43 	767.50 
2003/9/3	5673.18 	252.13 	765.87 
2003/9/4	5625.63 	249.81 	760.19 
2003/9/5	5639.03 	251.67 	765.31 
2003/9/8	5727.01 	258.12 	750.69 
2003/9/9	5680.69 	257.71 	732.17 
2003/9/10	5623.43 	257.31 	738.11 
2003/9/12	5645.28 	257.20 	737.59 
2003/9/15	5623.22 	255.66 	754.38 
2003/9/16	5699.26 	259.00 	752.85 
2003/9/17	5747.14 	262.55 	751.43 
2003/9/18	5750.81 	263.15 	760.84 
2003/9/19	5757.91 	262.39 	768.32 
2003/9/22	5675.75 	255.98 	768.56 
2003/9/23	5684.01 	256.57 	783.59 
2003/9/24	5722.36 	256.95 	790.10 
2003/9/25	5688.23 	253.82 	780.51 
2003/9/26	5650.11 	251.97 	780.65 
2003/9/29	5643.50 	251.48 	767.67 
2003/9/30	5611.41 	250.98 	765.94 
2003/10/1	5581.66 	249.67 	784.90 
2003/10/2	5699.86 	255.84 	792.08 
2003/10/3	5747.79 	257.56 	824.48 
2003/10/6	5851.20 	259.70 	833.56 
2003/10/7	5856.68 	258.69 	830.81 
2003/10/8	5821.80 	255.88 	837.68 
2003/10/9	5869.88 	257.56 	846.09 
2003/10/13	5972.47 	259.33 	867.68 
2003/10/14	5938.42 	256.86 	862.48 
2003/10/15	5924.38 	258.09 	846.09 
2003/10/16	6035.74 	263.31 	866.76 
2003/10/17	6042.71 	262.86 	883.84 
2003/10/20	6077.89 	263.00 	900.38 
2003/10/21	6061.46 	261.21 	904.45 
2003/10/22	6041.86 	261.25 	895.23 
2003/10/23	5952.23 	257.04 	881.75 
